,tot_med,tot_lo,tot_hi,type,age_group
df_nonhosp3,2241855.679,1748826.12,2734073.28,nonhospitalisation,"[30,40)"
df_nonhosp_acute3,933048.8546,724588.4293,1165644.577,nonhosp_acute,"[30,40)"
df_nonhosp_chronic_6m3,437757.6088,337369.9809,537311.7153,nonhosp_chronic_6m,"[30,40)"
df_nonhosp_chronic_12m3,190890.5413,134253.6576,249011.3258,nonhosp_chronic_12m,"[30,40)"
df_nonhosp_chronic_30m3,14947.33083,6573.959344,29734.24167,nonhosp_chronic_30m,"[30,40)"
df_nonhosp_subac3,661622.6231,512577.238,805119.7705,nonhosp_subac,"[30,40)"
df_yld_hosp_chronic3,5545.790397,1988.804485,11476.35693,yld_hosp_chronic,"[30,40)"
df_yld_hosp_acute3,121.1371094,46.78249614,302.096829,yld_hosp_acute,"[30,40)"
df_yld_hosp_subac3,911.3887855,313.5108688,2538.061828,yld_hosp_subac,"[30,40)"
df_yld_nh_chronic3,133457.7519,47714.66481,260964.1429,yld_nh_chronic,"[30,40)"
df_yld_nh_acute3,2951.121829,1169.511425,6911.103636,yld_nh_acute,"[30,40)"
df_yld_nh_subac3,22036.64008,7790.482532,60003.07809,yld_nh_subac,"[30,40)"
df_yld_acute3,3061.656191,1217.420042,7177.854235,yld_acute,"[30,40)"
df_yld_subac3,23063.50951,8130.916744,62560.63644,yld_subac,"[30,40)"
df_yld_chronic3,139066.0379,49814.69418,270865.0655,yld_chronic,"[30,40)"
df_yll3,85858.41232,55146.5429,127146.0415,yll,"[30,40)"
df_daly3,255708.5776,150277.6135,407608.0357,daly,"[30,40)"
symp4,1588188.818,1233444.363,1937453.07,symptomatic,"[40,50)"
asymp4,1441180.441,1091916.189,1795924.896,asymptomatic,"[40,50)"
df_hosp4,62317.86781,44562.41572,87817.94455,hospitalisation,"[40,50)"
df_hosp_acute4,21366.58022,14974.0161,30347.76632,hospitalisation_acute,"[40,50)"
df_hosp_chronic_6m4,13493.48548,9671.398578,19053.67196,hospitalisation_chronic6m,"[40,50)"
df_hosp_chronic_12m4,8197.934806,5660.245042,11996.47157,hospitalisation_chronic12m,"[40,50)"
df_hosp_chronic_30m4,1815.402462,971.8398988,3181.903662,hospitalisation_chronic30m,"[40,50)"
df_hosp_subac4,17372.1317,12377.37376,24292.58165,hospitalisation_subacute,"[40,50)"
df_hosp_fatal4,1521.606405,1067.244016,2146.391249,fatal,"[40,50)"
df_nonhosp4,1522809.468,1187912.761,1857154.638,nonhospitalisation,"[40,50)"
df_nonhosp_acute4,519557.122,403795.319,650230.7527,nonhosp_acute,"[40,50)"
df_nonhosp_chronic_6m4,331005.4969,257016.1838,404497.399,nonhosp_chronic_6m,"[40,50)"
df_nonhosp_chronic_12m4,200930.2723,150608.3947,253593.4452,nonhosp_chronic_12m,"[40,50)"
df_nonhosp_chronic_30m4,44180.82186,24741.32867,72974.07191,nonhosp_chronic_30m,"[40,50)"
df_nonhosp_subac4,424790.2396,327962.7032,517840.5428,nonhosp_subac,"[40,50)"
df_yld_hosp_chronic4,5706.199598,1993.973214,12018.86254,yld_hosp_chronic,"[40,50)"
df_yld_hosp_acute4,67.41302705,25.97234416,167.9717544,yld_hosp_acute,"[40,50)"
df_yld_hosp_subac4,581.6461355,199.4188959,1610.969233,yld_hosp_subac,"[40,50)"
df_yld_nh_chronic4,139512.6592,48563.58531,270231.5179,yld_nh_chronic,"[40,50)"
df_yld_nh_acute4,1643.490897,650.9239022,3843.750166,yld_nh_acute,"[40,50)"
df_yld_nh_subac4,14120.08972,5027.142512,38191.34969,yld_nh_subac,"[40,50)"
